s	value
3023261730983300170	<https://iconclass.org/id/22edd0fa4d6ce5efc70516854019a331bc5c6379>
12626541832699988837	<https://iconclass.org/id/59cd145845144845259bf85aca5390d6ef620b99>
16232289697255610764	<https://iconclass.org/id/3788fb1e849d065287126f3b223fa6c5831c85f8>
4880475274485731939	<https://iconclass.org/id/aa784b40aba13db3d017b1fa2b800216b80292cc>
1166575505951316838	<https://iconclass.org/id/d5c8bc6f0366bead6a65ad3c9b79f34089e1c404>
1118267406085512177	<https://iconclass.org/id/46727c03794c62cb18801f376f672c49cd1ebf8b>
4883837107610868355	<https://iconclass.org/id/ee062d5ec6bab73f47eb34e8bbe6bae3cda03163>
2153643581967031521	<https://iconclass.org/id/6aa52e475a990a70e5bb3489f2509b728ea4d517>
8892152134319687073	<https://iconclass.org/id/8c19597b6489ed578ce803bc347cf7e02f76ee68>
2298548777728943214	<https://iconclass.org/id/aaada833ac963933db185841571159a056f7a93b>
11141145488772412776	<https://iconclass.org/id/16cf95245f5357e7f004ba3ee5cf7ac8c570d730>
15596034280674098400	<https://iconclass.org/id/57b67f3dc66d160893091b8a519603b79ebbf6e9>
10663288519026325054	<https://iconclass.org/id/7cb73405a2fb62c692104e800eb0e5457caa376d>
15411561477693187680	<https://iconclass.org/id/af6f46a9e401bdce335161d00bc3057f8bbe2759>
7803961469301265896	<https://iconclass.org/id/ce33c84bc9481603ba66e0fa7a39d3cb10b00eb0>
7760779103334986581	<https://iconclass.org/id/f2bdebc3d79cea8cb83b2b27b8f37f3d39848d57>
4472391827809402718	<https://iconclass.org/id/8751eb882490d2ed8019c49e6cbb1b8fb1d11bd5>
5336301907526858390	<https://iconclass.org/id/25a2032731c0fa94783a0fbc6f667997a20dc771>
11802997788413850920	<https://iconclass.org/id/cef13812cb0a8202002d583e039a62c585fda3ce>
12581879401560864253	<https://iconclass.org/id/a2718685970ef2c7ed441053a8a3d752eafe8350>
8588488626067798400	<https://iconclass.org/id/a19fc7fe0921c2015aed85255be6e857ce41aa79>
14864563193460664463	<https://iconclass.org/id/1970d7b37f1b162093627356127a2be3efa404de>
10484561631522129210	<https://iconclass.org/id/b70221d11a74ad518b5d7e2581152c2eeebcd2d9>
14649011000524192046	<https://iconclass.org/id/201f6ea16e14731b864f3e17a05974e91dfc0c8c>
9606230660766481773	<https://iconclass.org/id/4f8ebf144879ed5fddc77ca3d4209835d0a5d317>
3493877306301385470	<https://iconclass.org/id/625c7744e36a1261ec74e763eb3707286733cc67>
8873678812862820688	<https://iconclass.org/id/0b9b7d291133759db7031fd8cae8ba0192e4f7a2>
13863486918796701683	<https://iconclass.org/id/fc8963594a64711728a362cef120460577b9676a>
11641198026008855658	<https://iconclass.org/id/7b7d15f4219fe5ea3f3f23377fa08b8e94f5e5ab>
17950679288362120890	<https://iconclass.org/id/61083cb424feff238e3265d40fc6013d95238ade>
5627123947708536947	<https://iconclass.org/id/d32b723fa2095697ede4e600ca1fc0e6dbd566aa>
5986275570027429290	<https://iconclass.org/id/5d9370df36d2127bbbd4a28fe81ad1fbc9ab9593>
